"","region","year","expenditure","exp_schooling","mean_schooling","life_exp_birth","hdi"
"1","ACEH",2010,7934,12.9,8.28,69.08,67.09
"2","ACEH",2011,8044,13.03,8.32,69.15,67.45
"3","ACEH",2012,8134,13.19,8.36,69.23,67.81
"4","ACEH",2013,8289,13.36,8.44,69.31,68.3
"5","ACEH",2014,8297,13.53,8.71,69.35,68.81
"6","ACEH",2015,8533,13.73,8.77,69.5,69.45
"7","ACEH",2016,8768,13.89,8.86,69.51,70
"8","ACEH",2017,8957,14.13,8.98,69.52,70.6
"9","ACEH",2018,9186,14.27,9.09,69.64,71.19
"10","ACEH",2019,9603,14.3,9.18,69.87,71.9
"11","ACEH",2020,9492,14.31,9.33,69.93,71.99
"12","Simeulue",2010,5728,12.45,8.17,64.05,60.6
"13","Simeulue",2011,5781,12.66,8.26,64.15,61.03
"14","Simeulue",2012,5824,12.67,8.34,64.22,61.25
"15","Simeulue",2013,5920,12.67,8.55,64.23,61.68
"16","Simeulue",2014,5956,12.75,8.89,64.24,62.18
"17","Simeulue",2015,6328,12.83,8.9,64.66,63.16
"18","Simeulue",2016,6542,13.07,8.91,64.78,63.82
"19","Simeulue",2017,6677,13.23,9.06,64.9,64.41
"20","Simeulue",2018,6824,13.25,9.07,65,64.74
"21","Simeulue",2019,7210,13.51,9.08,65.22,65.7
"22","Simeulue",2020,7085,13.76,9.34,65.26,66.03
"23","Aceh Singkil",2010,7081,12.41,6.65,66.71,62.36
"24","Aceh Singkil",2011,7123,12.84,6.86,66.76,63.13
"25","Aceh Singkil",2012,7165,13.49,7.16,66.85,64.23
"26","Aceh Singkil",2013,7208,13.85,7.33,66.91,64.87
"27","Aceh Singkil",2014,7221,14.05,7.48,66.94,65.27
"28","Aceh Singkil",2015,7602,14.26,7.5,66.97,66.05
"29","Aceh Singkil",2016,8068,14.27,7.69,67.02,66.96
"30","Aceh Singkil",2017,8230,14.28,7.84,67.07,67.37
"31","Aceh Singkil",2018,8506,14.29,8.05,67.16,68.02
"32","Aceh Singkil",2019,8715,14.3,8.52,67.36,68.91
"33","Aceh Singkil",2020,8707,14.31,8.53,67.39,68.94
"34","Aceh Selatan",2010,6855,12.35,7.5,62.92,61.22
"35","Aceh Selatan",2011,6890,12.51,7.53,63.03,61.52
"36","Aceh Selatan",2012,6913,12.57,7.56,63.12,61.69
"37","Aceh Selatan",2013,6989,13.01,7.59,63.16,62.27
"38","Aceh Selatan",2014,7003,13.05,7.6,63.18,62.35
"39","Aceh Selatan",2015,7224,13.24,7.79,63.61,63.28
"40","Aceh Selatan",2016,7397,13.53,8.02,63.75,64.13
"41","Aceh Selatan",2017,7567,13.8,8.33,63.89,65.03
"42","Aceh Selatan",2018,7891,14.15,8.38,64.02,65.92
"43","Aceh Selatan",2019,8187,14.41,8.59,64.27,66.9
"44","Aceh Selatan",2020,8089,14.42,8.87,64.35,67.12
"45","Aceh Tenggara",2010,6663,12.43,8.38,66.85,63.82
"46","Aceh Tenggara",2011,6731,12.66,8.45,66.93,64.27
"47","Aceh Tenggara",2012,6788,13.18,8.57,66.96,64.99
"48","Aceh Tenggara",2013,6899,13.54,8.58,67.03,65.55
"49","Aceh Tenggara",2014,6949,13.59,8.77,67.07,65.9
