"","nl12","nl13","nl14","nl15","nl16","nl17","nl18","nl19","nl20"
"1",0,0,0,0,0,0,0,2.1789842247963,0
"2",4.63503412147091,4.42296030042378,5.23344856806814,5.18590734538422,4.23697587813689,3.83711331592847,3.84418406674307,6.30035050519525,6.09940613350367
"3",0,0.011031192727387,3.4737362684682,6.36957529932261,10.2149125486612,6.91991691291332,8.25210377573967,7.72743652760983,7.3403822183609
"4",0.497910887002945,0.42814177274704,0.388811561465263,0.794640207290649,3.16041436195374,6.03993644714356,12.3072416305542,13.9452169418335,13.5268854141235
"5",0,0,0,0,0.509700700640678,5.50875687599182,11.1116030216217,12.4860334396362,9.56063032150269
"6",0,0,0,0,0.680147349834442,4.98929782474742,5.99614700850318,7.36560050178977,6.64296846530017
"7",0,0,0,0.0199278965592384,3.8103574415048,14.5533921003342,14.8021285533905,17.1479138056437,15.8663989226023
"8",0.602541148662567,1.23221276700497,0.713383801281452,1.61783781647682,0.650914669036865,1.01531127095222,1.17408534884453,0.803160578012466,1.10589027404785
"9",0.893757492303848,1.52559304237366,2.00469267368317,2.11740255355835,0.568045496940613,2.08443593978882,0.925966620445251,1.71544247865677,2.01459562778473
"10",1.21885506312052,0.963988423347473,1.1997092962265,1.43236315250397,0.738369584083557,1.6249072154363,1.5095663468043,1.95593798160553,1.73328042030334
"11",0.948414735496044,0.826755948364735,1.05084062367678,1.15972283482552,0.672884397208691,1.25118014961481,1.16349789500237,1.54165487736464,1.41813153773546
"12",1.04248910322785,1.61575328409672,1.33356605023146,1.7054173886776,1.47409803271294,1.74126210212708,1.79717840254307,1.58035031855106,2.47112419307232
"13",0.135160161803166,0.211237668059766,0.359711982371906,0.535396225750446,0.543354804938038,0.588038525978724,0.330644208192825,0.534029604991277,0.642323806881905
"14",2.78944969177246,3.02644104957581,2.15882096290588,2.2701203584671,0.143827131390572,1.71051831245422,2.07422206401825,2.9357780456543,2.49074850082397
"15",6.74598845426853,7.53895327104972,7.49502147940489,8.62301896466659,7.95682046711445,7.08690062875931,6.94733232855797,5.86443612529681,6.01947553524604
"16",0.0912942293771478,0.0905083958276136,0.0857742054734466,0.103405011774496,0.111772006940703,0.181686267603275,0.0354858484379081,0.0486267950645713,0.0975025147199631
"17",2.2200533747673,3.34243497848511,7.76917435328166,8.47057043711344,5.84004664421082,5.18501184781392,4.19149275620778,3.80940248966217,4.87658936580022
"18",0,0,0,0,0,0,0,0,0
"19",0.349139388402303,0.240075365702311,0,0,0,0,0,0,0.858513410886129
"20",3.59567405960777,7.19058951464566,8.51363494179466,13.3612294630571,6.17536247860302,5.95985647765073,7.22640880671414,5.52654108134183,8.93882740627636
"21",0,0,0,0,0,0,0,0,0.142490246781596
"22",0,0.00280306545587686,0,0,0,0,0.0474345580889628,0.0507467847604018,0.0186619964929727
